Business Name,Phone,City,State,Address,Location,Website,Google Maps Link
KAG Construction Corp,(516) 309-0636,New York,NY,"111 S Franklin Ave, Valley Stream","New York, NY",http://kagconstructioncorp.com/,https://maps.google.com/place?place_id=ChIJV5Ka6gZlwokR1Og1WFTHDtc
Mecha Build Construction Corp,(212) 540-5323,New York,NY,"18-65B Steinway St, Astoria","New York, NY",https://mechabuild.com/,https://maps.google.com/place?place_id=ChIJfyL7JJdfwokR4lCHvT_wKJE
Ari & Ari Construction Corp,(917) 686-0976,New York,NY,"215-44 47th Ave, Bayside","New York, NY",http://www.ariandariconstruction.com/,https://maps.google.com/place?place_id=ChIJDxvf-m1hwokRygS67o83N0Y
Naba Construction inc,(917) 470-7946,New York,NY,"463 Jerome St, Brooklyn","New York, NY",https://nabaconstructioncompany.com/,https://maps.google.com/place?place_id=ChIJadKvp61dwokRw56AeOzldNo
Right-Away Construction Corp.,(347) 544-5886,New York,NY,"32-77 46th St, Astoria","New York, NY",https://www.rightawayconstructionyc.com/,https://maps.google.com/place?place_id=ChIJe1HK4-hfwokRc348hsW-4FI
Jewel Construction Company | Brownstone Contractor & Deck Builders | Brooklyn,(347) 328-7203,New York,NY,"3623 15th Ave, Brooklyn","New York, NY",https://jewelconstructionny.com/,https://maps.google.com/place?place_id=ChIJB4v0u9ZawokRbaD_5qEh04E
Multi Construction Co.,(917) 406-1546,New York,NY,"906 E 39th St, Brooklyn","New York, NY",https://multiconstructionco.com/,https://maps.google.com/place?place_id=ChIJJ3aiZ4VbwokRg_v-g4c--fk
SAHI CONSTRUCTION CORP,(718) 416-9600,New York,NY,"2975 Paulding Ave, Bronx","New York, NY",https://sahiconstructions.com/,https://maps.google.com/place?place_id=ChIJfVrqRznzwokRcLgdmtWu7LA
Ghazi construction company,(718) 775-7958,New York,NY,"2239 85th St, Brooklyn","New York, NY",http://ghaziconstruction.com/,https://maps.google.com/place?place_id=ChIJJ1vPQwBFwokRGrfsEZApEnU
Vericon Construction Company,(908) 873-0022,New York,NY,"1063 US-22, Mountainside","New York, NY",https://www.vericon.com/,https://maps.google.com/place?place_id=ChIJGeaJ8t6xw4kRSKgWDQpqFOE
K L Masters Construction Company,(908) 483-2639,New York,NY,"700 Canal St Ste 43A, Stamford","New York, NY",https://www.klmasters.com/,https://maps.google.com/place?place_id=ChIJZRbZ5FqhwokRz0_wzBPUzF8
Alauddin Construction Company,(917) 704-1946,New York,NY,"1177 E 59th St Fl.1, Brooklyn","New York, NY",https://alauddinconstruction.com/,https://maps.google.com/place?place_id=ChIJtdALibBDwokRpAdPrxmOivM
York Construction co,(718) 798-3000,New York,NY,"2736 Colden Ave, Bronx","New York, NY",https://yorkconstructions.com/,https://maps.google.com/place?place_id=ChIJq6qqqk7zwokRTRGh-FGT7JA
Green Point Construction Company,(929) 283-1434,New York,NY,"70 Dahill Rd, Brooklyn","New York, NY",https://www.greenpointconstructionny.com/,https://maps.google.com/place?place_id=ChIJx21qrpVbwokR52_Z0ll6OYQ
Spirit construction corp,(914) 924-4485,New York,NY,"3489 Fort Independence St Suite 5G, Bronx","New York, NY",,https://maps.google.com/place?place_id=ChIJdehHSpzzwokRq0rzmTrqRq4
Gravesend Construction Corp.,(718) 219-3020,New York,NY,"768 Richmond Ter, Staten Island","New York, NY",http://www.gravesendconstruction.com/,https://maps.google.com/place?place_id=ChIJ0cNv_AxFwokRUUtTX5RJRPI
ESPJ CONSTRUCTION CORP.,(908) 925-4220,New York,NY,"4 McCandless St, Linden","New York, NY",http://www.espjconstruction.com/,https://maps.google.com/place?place_id=ChIJnSdc2eCyw4kRpXdkg82IyXE
"Olympus Construction, LLC.",(732) 418-7111,New York,NY,"54 Powers St, New Brunswick","New York, NY",http://www.olympusenterprisesllc.com/,https://maps.google.com/place?place_id=ChIJg0rk5SDHw4kRF60-_jje1po
Ok Construction Company & brick pointing company,(347) 330-3111,New York,NY,"223 Bedford Ave #1116, Brooklyn","New York, NY",http://www.okconstructioncorp.com/,https://maps.google.com/place?place_id=ChIJD33-MRBZwokRYSNDUruL9T0
Vanguard Construction & Development Co. Inc.,(212) 594-7477,New York,NY,"1430 Broadway Ste 903, New York","New York, NY",http://www.vanguardcon.com/,https://maps.google.com/place?place_id=ChIJl-_DGK1ZwokRxksSwqh6F9Q
Coronado Construction Company Inc,(323) 363-1794,Los Angeles,CA,"5416 Almont St, Los Angeles","Los Angeles, CA",https://coronadoconstructionco.com/,https://maps.google.com/place?place_id=ChIJX3LoK-DFwoARrMPpRaijTxU
1 Smart Build - Construction Company,(866) 419-8840,Los Angeles,CA,"21243 Ventura Blvd #133, Woodland Hills","Los Angeles, CA",https://1smart.build/,https://maps.google.com/place?place_id=ChIJfVZdMKudwoARGVb7C0jkBBg
Liberty Construction Service Tarzana,(818) 392-4038,Los Angeles,CA,"18851 Ventura Blvd, Tarzana","Los Angeles, CA",,https://maps.google.com/place?place_id=ChIJke9qoWmZwoARed0roHAQMqA
M&M Construction Company,(714) 766-3008,Los Angeles,CA,"13742 Riata St, Garden Grove","Los Angeles, CA",https://www.mymsolutions.net/,https://maps.google.com/place?place_id=ChIJeZWOBwUn3YARFxgvAD9c6zQ
"WA Rasic Construction Company, Inc.",(562) 928-6111,Los Angeles,CA,"7314 Scout Ave, Bell Gardens","Los Angeles, CA",http://www.warasic.com/,https://maps.google.com/place?place_id=ChIJtTH5idvNwoARZSKpNPXIqlc
Gulati Construction Company,(517) 944-4623,Los Angeles,CA,"8192 Santa Margarita Ln, La Palma","Los Angeles, CA",https://gccogroup.com/,https://maps.google.com/place?place_id=ChIJK_2ise0t3YAR9atQ4YdtB6U
Nicholas Construction & Development Company,(626) 626-5543,Los Angeles,CA,"9866 Garvey Ave c, El Monte","Los Angeles, CA",https://nicholasbuilder.com/,https://maps.google.com/place?place_id=ChIJ8-gVPMvRwoARtH_57tEJln0
Joel & Co. Construction,(310) 728-6181,Los Angeles,CA,"11693 San Vicente Blvd, Los Angeles","Los Angeles, CA",https://losangelesgeneralcontractor.com/,https://maps.google.com/place?place_id=ChIJR4VNe6C8woARcdLc9iMZv2c
Oltmans Construction Co,(562) 948-4242,Los Angeles,CA,"10005 E Mission Mill Rd, Whittier","Los Angeles, CA",http://www.oltmans.com/,https://maps.google.com/place?place_id=ChIJ_UQ8VRHRwoARfzt2x26VsTI
Alpha Construction Co. Inc.,(818) 779-3000,Los Angeles,CA,"14601 Aetna St, Van Nuys","Los Angeles, CA",https://www.alphaconstruction.com/,https://maps.google.com/place?place_id=ChIJRYGN_AeXwoARlZbD9hn5DGk
